angle;intensity
0;12.3
5;15.2
10;22.1
15;32.1
20;44.4
25;62.2
30;81.2
35;102.3
40;122.6
45;143.3
50;166.1
55;186.1
60;203
65;219
70;233
75;245
80;251
85;255
90;256
95;252
100;246
105;236
110;222
115;209
120;191.4
125;170.9
130;150.7
135;129.1
140;107.4
145;87.5
150;68.7
155;51.9
160;37.1
165;26.3
170;18.1
175;13.2
180;12.2
