angle;intensity
0;2.7
10;3.7
20;10.3
30;17.6
40;25.2
50;27
60;43.5
70;58.1
80;67.8
90;72.2
100;56.5
110;52.8
120;48
130;40.4
140;31.7
150;24.4
160;13.6
170;10.5
180;7.2
