V;I
38;59
39;61
40;64
41;67
42;67
43;66
44;65
45;63
46;60
47;57
48;56
49;57
50;57
51;58
52;59
53;59
54;61
55;63
56;65
57;67
58;70
59;71
60;74
61;76
62;78
63;80
64;81
65;83
66;84
67;83
68;84
