V;I
35.4;57
36.5;60
37;65
38;68
39;70
40;73
41;76
42;75
43;74
44;73
45;71
46;69
47;67
48;67
49;68
50;69
51;70
52;71
53;73
54;74
55;77
56;78
57;81
58;84
59;86
60;87
61;91
62;93
63;95
64;96
65;91
